title,price,image,details
Сотовый телефон BRAVIS A552 Joy Max золотой,"
7730 сом
","https://www.kivano.kg/images/product/40705/40705.jpg
",/product/view/sotovyy-telefon-bravis-a552-joy-max-zolotoy
Сотовый телефон BRAVIS A552 Joy Max серый,"
7730 сом
","https://www.kivano.kg/images/product/40706/40706.jpg
",/product/view/sotovyy-telefon-bravis-a552-joy-max-seryy
Сотовый телефон BRAVIS Next черный,"
6370 сом
","https://www.kivano.kg/images/product/27139/27139.jpg
",/product/view/sotovyy-telefon-bravis-next-chernyy
Сотовый телефон BRAVIS Trend черный,"
7730 сом
","https://www.kivano.kg/images/product/27142/27142.jpg
",/product/view/sotovyy-telefon-bravis-trend-chernyy
Сотовый телефон BRAVIS Trend белый,"
7730 сом
","https://www.kivano.kg/images/product/27143/27143.jpg
",/product/view/sotovyy-telefon-bravis-trend-belyy
Сотовый телефон Philips Xenium V526 LTE синий,"
17740 сом
","https://www.kivano.kg/images/product/27150/27150.jpg
",/product/view/sotovyy-telefon-philips-xenium-v526-lte-siniy
Сотовый телефон Xiaomi Poco X3 Pro 8/256GB черный,"
22070 сом
","https://www.kivano.kg/images/product/92970/1621833636_47952900.jpg
",/product/view/sotovyy-telefon-xiaomi-poco-x3-pro-8-256gb-chernyy
Сотовый телефон BRAVIS A504 Trace черный,"
7390 сом
","https://www.kivano.kg/images/product/39000/39000.jpg
",/product/view/sotovyy-telefon-bravis-a504-trace-chernyy
Сотовый телефон BRAVIS A504 Trace золотой,"
7390 сом
","https://www.kivano.kg/images/product/39001/39001.jpg
",/product/view/sotovyy-telefon-bravis-a504-trace-zolotoy
Сотовый телефон BRAVIS A504 Trace белый,"
7390 сом
","https://www.kivano.kg/images/product/39002/39002.jpg
",/product/view/sotovyy-telefon-bravis-a504-trace-belyy
Сотовый телефон Philips S326 серый,"
9420 сом
","https://www.kivano.kg/images/product/39006/39006.jpg
",/product/view/sotovyy-telefon-philips-s326-seryy
Сотовый телефон BRAVIS A505 Joy Plus синий,"
7470 сом
","https://www.kivano.kg//avatars.mds.yandex.net/get-mpic/96484/img_id7447538864012848741/9
",/product/view/sotovyy-telefon-bravis-a505-joy-plus-siniy
Сотовый телефон BRAVIS A505 Joy Plus белый,"
7470 сом
","https://www.kivano.kg/images/product/40544/40544.jpg
",/product/view/sotovyy-telefon-bravis-a505-joy-plus-belyy
Сотовый телефон Ergo A551 Sky синий,"
8230 сом
","https://www.kivano.kg//avatars.mds.yandex.net/get-mpic/96484/img_id7837171693509932706/9
",/product/view/sotovyy-telefon-ergo-a551-sky-siniy
Сотовый телефон Ergo A551 Sky золотой,"
8230 сом
","https://www.kivano.kg/images/product/40546/40546.jpg
",/product/view/sotovyy-telefon-ergo-a551-sky-zolotoy
Сотовый телефон Samsung Galaxy A12 (2021) 4/128GB (SM-A125F/DS) синий,"

 15450 сом
-1%

15280 сом
","https://www.kivano.kg/images/product/90757/1617637716_53506400.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a12-2021-4-128gb-sm-a125f-ds-siniy
Сотовый телефон ASUS ZenFone 4 Selfie ZD553KL черный,"
16050 сом
","https://www.kivano.kg/images/product/55686/55686.jpg
",/product/view/sotovyy-telefon-asus-zenfone-4-selfie-zd553kl-chernyy
Сотовый телефон Xiaomi Redmi Note 9T 4/64Gb черный,"
15110 сом
","https://www.kivano.kg/images/product/88967/1613448537_50089100.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-9t-4-64gb-chernyy
Сотовый телефон ASUS PadFone mini черный,"
17720 сом
","https://www.kivano.kg/images/product/55687/55687.jpg
",/product/view/sotovyy-telefon-asus-padfone-mini-chernyy
Сотовый телефон Samsung Galaxy A22 (2021) 64GB (SM-A225F/DS) черный,"
17230 сом
","https://www.kivano.kg/images/product/95384/1626673206_90109300.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a22-2021-64gb-sm-a225f-ds-chernyy
Сотовый телефон Samsung Galaxy A22 (2021) 128GB (SM-A225F/DS) черный,"
18850 сом
","https://www.kivano.kg/images/product/95385/1626673273_71798600.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a22-2021-128gb-sm-a225f-ds-chernyy
Сотовый телефон ASUS Fonepad Note 6 16Gb черный,"
36080 сом
","https://www.kivano.kg/images/product/31395/31395.jpg
",/product/view/sotovyy-telefon-asus-fonepad-note-6-16gb-chernyy
Сотовый телефон Xiaomi Redmi Note 10 Pro 6/128GB серый,"
26910 сом
","https://www.kivano.kg/images/product/91054/1618686400_79947600.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-10-pro-6-128gb-seryy
Сотовый телефон Samsung Galaxy A32 (2021) 4/64GB (SM-A325F/DS) черный,"

 20630 сом
-1%

20460 сом
","https://www.kivano.kg/images/product/90287/1616444425_72473000.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a32-2021-4-64gb-sm-a325f-ds-chernyy
Сотовый телефон Xiaomi Redmi Note 10 Pro 6/128GB голубой,"

 26320 сом
-2%

25820 сом
","https://www.kivano.kg/images/product/91055/1618686706_21657000.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-10-pro-6-128gb-goluboy
Сотовый телефон Xiaomi Redmi Note 10 Pro 8/128GB бронзовый,"

 28440 сом
-1%

28190 сом
","https://www.kivano.kg/images/product/91057/1618687131_02738000.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-10-pro-8-128gb-bronzovyy
Сотовый телефон Samsung Galaxy A02 (2021) 64GB (SM-A022F/DS) черный,"
10780 сом
","https://www.kivano.kg/images/product/91061/1618758334_51732600.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a02-2021-64gb-sm-a022f-ds-chernyy
Сотовый телефон Xiaomi Poco X3 Pro 8/256GB синий,"

 22160 сом
-1%

21990 сом
","https://www.kivano.kg/images/product/91072/1618767945_03555600.jpg
",/product/view/sotovyy-telefon-xiaomi-poco-x3-pro-8-256gb-siniy
Смартфон iLife itell S500S серебристый,"
8230 сом
","https://www.kivano.kg/images/product/19401/19401.jpg
",/product/view/smartfon-ilife-itell-s500s-serebristyy
Сотовый телефон BRAVIS A503 Joy черный,"
6280 сом
","https://www.kivano.kg/images/product/34265/34265.jpg
",/product/view/sotovyy-telefon-bravis-a503-joy-chernyy
Сотовый телефон BRAVIS A503 Joy золотой,"
6280 сом
","https://www.kivano.kg/images/product/34266/34266.jpg
",/product/view/sotovyy-telefon-bravis-a503-joy-zolotoy
